Tick 1019(1001), Delay 26 ms, IGT 00:49.987, RTA 01:19.191-01:19.217
Tick 1029(1011), Delay 34 ms, IGT 00:50.487, RTA 01:19.675-01:19.709
Tick 1065(1047), Delay 33 ms, IGT 00:52.287, RTA 01:21.476-01:21.509
Tick 1109(1091), Delay 34 ms, IGT 00:54.487, RTA 01:23.675-01:23.709
Tick 1155(1137), Delay 34 ms, IGT 00:56.787, RTA 01:25.975-01:26.009
Tick 1190(1172), Delay 35 ms, IGT 00:58.537, RTA 01:27.724-01:27.759
Tick 1235(1217), Delay 34 ms, IGT 01:00.787, RTA 01:29.975-01:30.009
Tick 1269(1251), Delay 34 ms, IGT 01:02.487, RTA 01:31.675-01:31.709
Tick 1295(1277), Delay 42 ms, IGT 01:03.787, RTA 01:32.972-01:33.014
Tick 1296(1278), Delay 55 ms, IGT 01:03.837, RTA 01:33.014-01:33.069
Tick 1297(1279), Delay 61 ms, IGT 01:03.887, RTA 01:33.069-01:33.130
Tick 1298(1280), Delay 34 ms, IGT 01:03.937, RTA 01:33.130-01:33.164
Tick 1299(1281), Delay 57 ms, IGT 01:03.987, RTA 01:33.164-01:33.221
Tick 1301(1283), Delay 44 ms, IGT 01:04.087, RTA 01:33.272-01:33.316
Tick 1303(1285), Delay 57 ms, IGT 01:04.187, RTA 01:33.367-01:33.424
Tick 1308(1290), Delay 33 ms, IGT 01:04.437, RTA 01:33.626-01:33.659
Tick 1326(1308), Delay 55 ms, IGT 01:05.337, RTA 01:34.516-01:34.571
Tick 1329(1311), Delay 37 ms, IGT 01:05.487, RTA 01:34.672-01:34.709
Tick 1333(1315), Delay 57 ms, IGT 01:05.687, RTA 01:34.862-01:34.919
Tick 1335(1317), Delay 56 ms, IGT 01:05.787, RTA 01:34.970-01:35.026
Tick 1336(1318), Delay 33 ms, IGT 01:05.837, RTA 01:35.026-01:35.059
Tick 1357(1339), Delay 58 ms, IGT 01:06.887, RTA 01:36.072-01:36.130
Tick 1358(1340), Delay 35 ms, IGT 01:06.937, RTA 01:36.130-01:36.165
Tick 1374(1356), Delay 32 ms, IGT 01:07.737, RTA 01:36.926-01:36.958
Tick 1417(1399), Delay 34 ms, IGT 01:09.887, RTA 01:39.075-01:39.109
Tick 1438(1420), Delay 146 ms, IGT 01:10.937, RTA 01:40.122-01:40.268
Tick 1439(1421), Delay 2 ms, IGT 01:10.987, RTA 01:40.268-01:40.270
Tick 1440(1422), Delay 0 ms, IGT 01:11.037, RTA 01:40.270-01:40.270
Tick 1441(1423), Delay 42 ms, IGT 01:11.087, RTA 01:40.270-01:40.312
Tick 1442(1424), Delay 59 ms, IGT 01:11.137, RTA 01:40.312-01:40.371
